"Evnt_Time","Evnt_ID","Evnt_Name","Item_Name","Alias_Name","Group_ID","Num_Args","Arg1_Name","Arg1_Value","Arg2_Name","Arg2_Value","Arg3_Name","Arg3_Value","Arg4_Name","Arg4_Value","Arg5_Name","Arg5_Value"
"2624.603","34","Whisker - Clear Image by Position","Bussey Mouse Operant Mode 2 x 1 x low","","9","2","Position","1","","-1",,,,,,
"2624.603","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Background","9","2","Position","2","Image 1","0",,,,,,
"2624.603","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Background","9","2","Position","1","Image 1","0",,,,,,
"2624.603","16","Variable Event","shock_on_off","","9","1","Value","1",,,,,,,,
"2624.603","19","List Change - Next Value","S4_75_forcedchoice_shock","","9","2","Index","3","Value","1",,,,,,
"2624.603","16","Variable Event","_Trial_Counter","","9","1","Value","66",,,,,,,,
"2624.603","16","Variable Event","trial_withinsession_counter","","9","1","Value","6",,,,,,,,
"2624.603","16","Variable Event","BigRew_forced_counter","","9","1","Value","10",,,,,,,,
"2624.603","21","Group Change Event","Group Change","","9","1","New Group","14",,,,,,,,
"2624.603","1","Condition Event","Pulse Shock","","14","0",,,,,,,,,,
"2624.603","7","Pulse Output Event","Shocker #1","","14","1","Duration","0.5",,,,,,,,
"2624.603","21","Group Change Event","Group Change","","14","1","New Group","17",,,,,,,,
"2624.605","39","Input Transition Off Event","BIRBeam #1","","17","0",,,,,,,,,,
"2624.605","39","Input Transition Off Event","FIRBeam #1","","17","0",,,,,,,,,,
"2624.671","38","Input Transition On Event","BIRBeam #1","","17","0",,,,,,,,,,
"2624.719","38","Input Transition On Event","FIRBeam #1","","17","0",,,,,,,,,,
"2624.743","31","Touch Up Event","Bussey Mouse Operant Mode 2 x 1 x low","","17","2","Position","1","Image 1","0",,,,,,
"2626.499","38","Input Transition On Event","Tray #1","","17","0",,,,,,,,,,
"2626.5","1","Condition Event","Reward Retrieved Forced Choice","","17","0",,,,,,,,,,
"2626.5","4","Output Off Event","TrayLight #1","","17","0",,,,,,,,,,
"2626.5","29","Timer Event","ITI_timer","","17","1","Value","0",,,,,,,,
"2626.5","19","List Change - Next Value","ForcedGrid_Position","","17","2","Index","2","Value","1",,,,,,
"2626.5","21","Group Change Event","Group Change","","17","1","New Group","21",,,,,,,,
"2627.202","39","Input Transition Off Event","Tray #1","","21","0",,,,,,,,,,
"2627.742","38","Input Transition On Event","Tray #1","","21","0",,,,,,,,,,
"2634.5","1","Condition Event","ITI (regular)","","21","0",,,,,,,,,,
"2634.5","16","Variable Event","ITI_timer","","21","1","Value","8",,,,,,,,
"2634.5","16","Variable Event","ITI_timer","","21","1","Value","0",,,,,,,,
"2634.5","21","Group Change Event","Group Change","","21","1","New Group","2",,,,,,,,
"2634.5","1","Condition Event","If not End of Expt., turns on TrayLight","","2","0",,,,,,,,,,
"2634.5","3","Output On Event","TrayLight #1","","2","0",,,,,,,,,,
"2634.5","4","Output Off Event","Laser #1","","2","0",,,,,,,,,,
"2634.5","21","Group Change Event","Group Change","","2","1","New Group","3",,,,,,,,
"2634.5","1","Condition Event","Define Session3","","3","0",,,,,,,,,,
"2634.5","16","Variable Event","Session3","","3","1","Value","1",,,,,,,,
"2634.5","16","Variable Event","Session1","","3","1","Value","0",,,,,,,,
"2634.5","16","Variable Event","Session2","","3","1","Value","0",,,,,,,,
"2634.5","16","Variable Event","Session4","","3","1","Value","0",,,,,,,,
"2634.5","16","Variable Event","Session5","","3","1","Value","0",,,,,,,,
"2634.5","21","Group Change Event","Group Change","","3","1","New Group","4",,,,,,,,
"2634.5","1","Condition Event","Are we in Forced_Choice Trials","","4","0",,,,,,,,,,
"2634.5","16","Variable Event","FreeChoice_trials","","4","1","Value","0",,,,,,,,
"2634.5","21","Group Change Event","Group Change","","4","1","New Group","5",,,,,,,,
"2635.332","39","Input Transition Off Event","Tray #1","","5","0",,,,,,,,,,
"2635.333","1","Condition Event","Set Trial (correct image)","","5","0",,,,,,,,,,
"2635.333","16","Variable Event","Forced_img_position","","5","1","Value","1",,,,,,,,
"2635.333","21","Group Change Event","Group Change","","5","1","New Group","6",,,,,,,,
"2635.333","1","Condition Event","Blank Right","","6","0",,,,,,,,,,
"2635.333","16","Variable Event","Forced_blank_position","","6","1","Value","2",,,,,,,,
"2635.333","21","Group Change Event","Group Change","","6","1","New Group","7",,,,,,,,
"2636.481","38","Input Transition On Event","Tray #1","","7","0",,,,,,,,,,
"2636.482","1","Condition Event","Forced-Choice Trials Begin","","7","0",,,,,,,,,,
"2636.482","4","Output Off Event","TrayLight #1","","7","0",,,,,,,,,,
"2636.482","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Images","7","2","Position","1","Image 1","0",,,,,,
"2636.482","29","Timer Event","Presentation_timer","","7","1","Value","0",,,,,,,,
"2636.482","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Background","7","2","Position","2","Image 1","0",,,,,,
"2636.482","21","Group Change Event","Group Change","","7","1","New Group","9",,,,,,,,
"2637.448","39","Input Transition Off Event","Tray #1","","9","0",,,,,,,,,,
"2644.139","38","Input Transition On Event","Tray #1","","9","0",,,,,,,,,,
"2652.017","39","Input Transition Off Event","Tray #1","","9","0",,,,,,,,,,
"2654.331","38","Input Transition On Event","Tray #1","","9","0",,,,,,,,,,
"2655.679","39","Input Transition Off Event","Tray #1","","9","0",,,,,,,,,,
"2666.469","38","Input Transition On Event","Tray #1","","9","0",,,,,,,,,,
"2666.482","1","Condition Event","Omission of a Forced Trial","","9","0",,,,,,,,,,
"2666.482","4","Output Off Event","TrayLight #1","","9","0",,,,,,,,,,
"2666.482","16","Variable Event","forcedtrial_omission","","9","1","Value","2",,,,,,,,
"2666.482","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Background","9","2","Position","1","Image 1","0",,,,,,
"2666.482","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Background","9","2","Position","2","Image 1","0",,,,,,
"2666.482","29","Timer Event","ITI_timer","","9","1","Value","0",,,,,,,,
"2666.482","21","Group Change Event","Group Change","","9","1","New Group","16",,,,,,,,
"2668.308","39","Input Transition Off Event","Tray #1","","16","0",,,,,,,,,,
"2670.022","38","Input Transition On Event","Tray #1","","16","0",,,,,,,,,,
"2670.281","39","Input Transition Off Event","Tray #1","","16","0",,,,,,,,,,
"2674.482","1","Condition Event","ITI TO (Blank touch or Omission)","","16","0",,,,,,,,,,
"2674.482","3","Output On Event","TrayLight #1","","16","0",,,,,,,,,,
"2674.482","16","Variable Event","ITI_timer","","16","1","Value","8",,,,,,,,
"2674.482","16","Variable Event","ITI_timer","","16","1","Value","0",,,,,,,,
"2674.482","21","Group Change Event","Group Change","","16","1","New Group","7",,,,,,,,
"2676.712","38","Input Transition On Event","Tray #1","","7","0",,,,,,,,,,
"2676.713","1","Condition Event","Forced-Choice Trials Begin","","7","0",,,,,,,,,,
"2676.713","4","Output Off Event","TrayLight #1","","7","0",,,,,,,,,,
"2676.713","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Images","7","2","Position","1","Image 1","0",,,,,,
"2676.713","29","Timer Event","Presentation_timer","","7","1","Value","0",,,,,,,,
"2676.713","32","Whisker - Display Image","Bussey Mouse Operant Mode 2 x 1 x low","Background","7","2","Position","2","Image 1","0",,,,,,
"2676.713","21","Group Change Event","Group Change","","7","1","New Group","9",,,,,,,,
"2677.401","39","Input Transition Off Event","Tray #1","","9","0",,,,,,,,,,
"2677.788","38","Input Transition On Event","Tray #1","","9","0",,,,,,,,,,
"2680.062","39","Input Transition Off Event","Tray #1","","9","0",,,,,,,,,,
"2689.259","38","Input Transition On Event","Tray #1","","9","0",,,,,,,,,,
"2691.306","39","Input Transition Off Event","Tray #1","","9","0",,,,,,,,,,
"2691.315","38","Input Transition On Event","Tray #1","","9","0",,,,,,,,,,
"2694.688","39","Input Transition Off Event","Tray #1","","9","0",,,,,,,,,,
"2699.033","38","Input Transition On Event","Tray #1","","9","0",,,,,,,,,,
"2699.269","39","Input Transition Off Event","Tray #1","","9","0",,,,,,,,,,
"2706.085","38","Input Transition On Event","Tray #1","","9","0",,,,,,,,,,
"2706.594","39","Input Transition Off Event","Tray #1","","9","0",,,,,,,,,,
"2706.713","1","Condition Event","Omission of a Forced Trial","","9","0",,,,,,,,,,
"2706.713","4","Output Off Event","TrayLight #1","","9","0",,,,,,,,,,
"2706.713","16","Variable Event","forcedtrial_omission","","9","1","Value","3",,,,,,,,
